date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:19:04	25/25	---M--	200	added ('OK')	text/plain	etag:%2219-5b975f64766b2%22	https://minbooklibrary.orgfree.com/robots.txt		(from )
10:19:04	81707/81707	---MC-	200	added ('OK')	text/html	etag:%2213d91-5b9762e1c6a92%22	https://minbooklibrary.orgfree.com/	C:/laragon/www/shopbansach/public/font_end/minbooklibrary.orgfree.com/index.html	(from )
10:19:05	3959/3959	---M--	200	added ('OK')	image/png	etag:%22f77-5b9762d795752%22	https://minbooklibrary.orgfree.com/apple-touch-icon.png	C:/laragon/www/shopbansach/public/font_end/minbooklibrary.orgfree.com/apple-touch-icon.png	(from https://minbooklibrary.orgfree.com/)
10:19:06	121204/121204	---M--	200	added ('OK')	text/css	etag:%221d974-5b9762efc0a40%22	https://minbooklibrary.orgfree.com/css/bootstrap.min.css	C:/laragon/www/shopbansach/public/font_end/minbooklibrary.orgfree.com/css/bootstrap.min.css	(from https://minbooklibrary.orgfree.com/)
10:19:07	7294/7294	---M--	200	added ('OK')	text/css	etag:%221c7e-5b9762f52589c%22	https://minbooklibrary.orgfree.com/css/normalize.css	C:/laragon/www/shopbansach/public/font_end/minbooklibrary.orgfree.com/css/normalize.css	(from https://minbooklibrary.orgfree.com/)
10:19:08	31024/31024	---M--	200	added ('OK')	text/css	etag:%227930-5b9762f176271%22	https://minbooklibrary.orgfree.com/css/font-awesome.min.css	C:/laragon/www/shopbansach/public/font_end/minbooklibrary.orgfree.com/css/font-awesome.min.css	(from https://minbooklibrary.orgfree.com/)
10:19:09	227/227	---M--	302	error ('Found')	text/html	date:Thu,%2014%20Sep%202023%2003:19:09%20GMT	https://minbooklibrary.orgfree.com/css/icomoon.css	C:/laragon/www/shopbansach/public/font_end/minbooklibrary.orgfree.com/css/icomoon.4.delayed	(from https://minbooklibrary.orgfree.com/)
10:19:10	34337/34337	---M--	200	added ('OK')	text/css	etag:%228621-5b9762f34d1cf%22	https://minbooklibrary.orgfree.com/css/jquery-ui.css	C:/laragon/www/shopbansach/public/font_end/minbooklibrary.orgfree.com/css/jquery-ui.css	(from https://minbooklibrary.orgfree.com/)
10:19:11	4915/4915	---M--	200	added ('OK')	text/css	etag:%221333-5b9762f56bda4%22	https://minbooklibrary.orgfree.com/css/owl.carousel.css	C:/laragon/www/shopbansach/public/font_end/minbooklibrary.orgfree.com/css/owl.carousel.css	(from https://minbooklibrary.orgfree.com/)
10:19:11	1867/1867	---M--	200	added ('OK')	text/css	etag:%2274b-5b9762f713efc%22	https://minbooklibrary.orgfree.com/css/transitions.css	C:/laragon/www/shopbansach/public/font_end/minbooklibrary.orgfree.com/css/transitions.css	(from https://minbooklibrary.orgfree.com/)
10:19:12	86976/86976	---M--	200	added ('OK')	text/css	etag:%22153c0-5b9762f39716f%22	https://minbooklibrary.orgfree.com/css/main.css	C:/laragon/www/shopbansach/public/font_end/minbooklibrary.orgfree.com/css/main.css	(from https://minbooklibrary.orgfree.com/)
10:19:13	3154/3154	---M--	200	added ('OK')	text/css	etag:%22c52-5b9762ef36f10%22	https://minbooklibrary.orgfree.com/css/color.css	C:/laragon/www/shopbansach/public/font_end/minbooklibrary.orgfree.com/css/color.css	(from https://minbooklibrary.orgfree.com/)
10:19:14	15347/15347	---M--	200	added ('OK')	text/css	etag:%223bf3-5b9762f66b799%22	https://minbooklibrary.orgfree.com/css/responsive.css	C:/laragon/www/shopbansach/public/font_end/minbooklibrary.orgfree.com/css/responsive.css	(from https://minbooklibrary.orgfree.com/)
